Date Height(cm) Seconds Days
202308271949 219 4560.0   0.052778
202308280247 90  29640.0  0.343056
202308280753 147 48000.0  0.555556
202308281334 56  68460.0  0.792361
202308282041 237 94080.0  1.088889
202308290327 68  118440.0 1.370833
202308290852 164 137940.0 1.596528
202308291433 45  158400.0 1.833333
202308292125 252 183120.0 2.119444
202308300404 48  207060.0 2.396528
202308300939 182 227160.0 2.629167
202308301524 37  247860.0 2.868750
